root	ours(posixKqueue)	51355	0.833	8.175	17.851
_json	ours(posixKqueue)	48729	0.809	10.080	20.570
_payload	ours(posixKqueue)	39798	0.904	13.255	45.162
_hello_world	ours(posixKqueue)	23848	0.633	65.679	142.544
_echo	ours(posixKqueue)	29952	0.622	44.021	82.651
root	ours(swiftSystem)	46100	0.751	12.539	25.337
_json	ours(swiftSystem)	34484	0.746	28.064	77.461
_payload	ours(swiftSystem)	21517	0.816	58.600	185.416
_hello_world	ours(swiftSystem)	26216	0.588	58.917	116.383
_echo	ours(swiftSystem)	50391	0.813	9.021	16.161
root	nginx	40779	1.532	2.425	4.087
_json	nginx	36725	1.612	4.784	11.745
_payload	nginx	35252	1.571	4.740	29.484
_hello_world	nginx	41356	1.497	2.347	12.096
_echo	nginx	N/A	-	-	-
root	rust	54515	0.923	6.476	19.503
_json	rust	58494	1.013	3.367	9.962
_payload	rust	48513	0.714	16.028	36.200
_hello_world	rust	56028	0.903	6.254	13.944
_echo	rust	51488	0.778	10.427	39.840
root	go	38572	0.482	25.682	63.396
_json	go	53194	0.733	8.636	16.269
_payload	go	54748	0.867	6.514	12.739
_hello_world	go	53225	0.779	7.679	16.767
_echo	go	52619	0.779	7.863	13.054
root	bun	39244	1.528	3.338	4.122
_json	bun	36967	1.575	3.966	8.184
_payload	bun	30774	1.723	6.153	18.207
_hello_world	bun	30543	1.793	5.722	21.541
_echo	bun	32897	1.743	4.415	7.234
root	hummingbird	46194	0.599	13.896	27.569
_json	hummingbird	44108	0.590	15.457	32.914
_payload	hummingbird	43746	0.573	14.989	33.449
_hello_world	hummingbird	39768	0.558	18.809	44.947
_echo	hummingbird	40981	0.571	17.941	40.277
root	vapor	29120	0.647	24.518	68.313
_json	vapor	43317	0.820	9.115	17.307
_payload	vapor	39682	0.746	11.464	39.644
_hello_world	vapor	40628	0.926	8.546	15.564
_echo	vapor	46780	0.777	7.444	13.519
root	ours(posixKqueue)	47882	0.784	11.370	22.206
_json	ours(posixKqueue)	39336	0.780	15.532	86.880
_payload	ours(posixKqueue)	41894	0.944	11.282	23.301
_hello_world	ours(posixKqueue)	50383	0.818	8.559	15.956
_echo	ours(posixKqueue)	48852	0.745	11.005	21.157
root	ours(swiftSystem)	46372	0.774	11.470	27.974
_json	ours(swiftSystem)	45058	0.771	12.553	26.101
_payload	ours(swiftSystem)	45422	0.976	8.644	14.683
_hello_world	ours(swiftSystem)	49330	0.837	9.098	16.812
_echo	ours(swiftSystem)	39768	0.742	16.406	58.474
root	nginx	36891	1.605	4.264	18.051
_json	nginx	39243	1.489	3.939	8.768
_payload	nginx	28383	1.819	8.211	53.186
_hello_world	nginx	41621	1.507	2.317	3.573
_echo	nginx	N/A	-	-	-
root	rust	58268	0.940	4.951	11.285
_json	rust	58361	0.959	4.538	12.409
_payload	rust	56740	0.964	4.680	16.279
_hello_world	rust	59600	1.014	2.554	7.092
_echo	rust	56998	0.911	5.956	13.934
root	go	47293	0.674	12.508	37.612
_json	go	48812	0.652	12.001	22.760
_payload	go	53709	0.754	7.850	14.438
_hello_world	go	39116	0.508	23.399	53.931
_echo	go	46182	0.583	14.122	28.360
root	bun	34039	1.702	4.288	10.904
_json	bun	31418	1.686	6.493	24.808
_payload	bun	39339	1.531	3.299	4.159
_hello_world	bun	38535	1.554	3.407	4.351
_echo	bun	36734	1.638	3.521	4.177
root	hummingbird	44877	0.581	14.930	32.484
_json	hummingbird	46453	0.596	13.612	26.458
_payload	hummingbird	45800	0.602	13.966	27.307
_hello_world	hummingbird	45820	0.608	13.762	28.089
_echo	hummingbird	44879	0.595	14.737	28.058
root	vapor	47988	0.797	6.895	13.008
_json	vapor	47572	0.807	7.192	14.139
_payload	vapor	46772	0.816	7.247	12.917
_hello_world	vapor	44124	0.925	7.354	13.398
_echo	vapor	47792	0.780	7.191	13.463
root	ours(posixKqueue)	41857	0.812	12.808	51.268
_json	ours(posixKqueue)	49314	0.775	10.000	20.240
_payload	ours(posixKqueue)	22911	0.940	47.124	118.791
_hello_world	ours(posixKqueue)	30838	0.639	37.785	78.285
_echo	ours(posixKqueue)	44731	0.751	13.174	51.584
root	ours(swiftSystem)	47835	0.758	10.959	25.368
_json	ours(swiftSystem)	28913	0.636	39.590	133.445
_payload	ours(swiftSystem)	45983	0.994	8.269	15.650
_hello_world	ours(swiftSystem)	45664	0.779	12.050	25.396
_echo	ours(swiftSystem)	33974	0.671	28.478	89.072
root	nginx	43032	1.469	2.116	3.496
_json	nginx	45466	1.375	2.311	5.293
_payload	nginx	46589	1.373	1.840	2.081
_hello_world	nginx	46127	1.383	1.854	2.643
_echo	nginx	N/A	-	-	-
root	rust	58172	0.981	3.972	9.420
_json	rust	54800	0.893	6.655	22.023
_payload	rust	52082	0.949	8.022	35.979
_hello_world	rust	58664	1.000	3.614	9.232
_echo	rust	58199	0.970	4.075	9.476
root	go	49740	0.680	10.977	34.893
_json	go	53108	0.748	8.941	17.328
_payload	go	52137	0.741	9.189	18.720
_hello_world	go	47699	0.615	14.018	33.442
_echo	go	40372	0.584	17.459	43.272
root	bun	37957	1.577	3.443	4.034
_json	bun	33157	1.724	4.511	18.534
_payload	bun	35085	1.613	4.728	14.793
_hello_world	bun	38821	1.551	3.320	3.923
_echo	bun	29504	1.854	6.569	22.688
root	hummingbird	38159	0.566	20.523	47.358
_json	hummingbird	41007	0.567	17.359	40.620
_payload	hummingbird	35181	0.538	24.246	64.872
_hello_world	hummingbird	44106	0.549	16.414	33.355
_echo	hummingbird	42871	0.573	16.403	34.626
root	vapor	44407	0.762	8.701	16.728
_json	vapor	44672	0.767	8.312	15.489
_payload	vapor	42118	0.772	9.773	18.386
_hello_world	vapor	39530	0.870	9.272	16.990
_echo	vapor	46280	0.769	7.874	14.729
